t,o,h,l,c
1783209600000,444.02,444.14,443.51,444.04
1783213200000,443.93,444.68,443.75,444.68
1783216800000,444.73,445.26,444.29,445.26
1783220400000,444.86,445.33,444.28,445.33
1783224000000,444.44,445.38,444.08,445.18
1783227600000,445.41,446.86,445.13,446.86
1783231200000,446.61,447.34,446.59,447.15
1783234800000,446.29,446.89,446.18,446.64
1783238400000,447.03,447.1,447.03,447.1
1783242000000,446.89,446.89,444.98,445.46
1783245600000,445.38,447.09,445.38,446.59
1783249200000,447.0,447.0,445.84,446.07
1783252800000,447.0,447.4,447.0,447.32
1783256400000,447.6,448.26,447.32,448.26
1783260000000,447.86,448.28,445.85,447.59
1783263600000,448.29,451.32,447.67,448.44
1783267200000,448.47,449.99,447.81,449.13
1783270800000,449.18,449.36,448.89,449.19
1783274400000,449.53,449.54,448.69,448.69
1783278000000,449.3,449.3,448.87,448.87
1783281600000,449.39,449.77,449.2,449.68
1783285200000,449.72,450.18,449.31,449.98
1783288800000,450.0,455.19,449.4,454.71
1783292400000,454.87,456.38,449.75,450.58
1783296000000,450.62,450.62,441.9,444.69
1783299600000,444.22,445.64,443.02,443.84
1783303200000,443.86,444.12,438.53,440.27
1783306800000,439.86,443.92,439.86,442.57
1783310400000,442.56,444.9,441.89,444.17
1783314000000,444.42,444.49,442.64,444.03
1783317600000,444.18,445.12,443.89,444.59
1783321200000,444.84,447.52,444.83,447.1
1783324800000,446.93,447.43,444.63,445.96
1783328400000,445.87,446.42,444.34,446.23
1783332000000,446.22,446.55,445.28,445.81
1783335600000,445.85,446.92,445.36,446.76
1783339200000,445.89,447.43,445.83,447.0
1783342800000,446.18,457.16,445.64,455.65
1783346400000,455.02,460.19,454.11,456.59
1783350000000,456.55,458.56,453.1,458.1
1783353600000,457.9,459.71,455.0,455.66
1783357200000,455.92,456.54,453.36,453.82
1783360800000,454.17,455.57,453.87,455.34
1783364400000,455.6,456.65,452.21,452.3
1783368000000,452.21,453.44,452.16,453.37
1783371600000,453.16,453.75,453.13,453.33
1783375200000,453.34,454.31,451.77,452.71
1783378800000,452.53,453.07,450.12,450.76
1783382400000,450.66,452.52,449.15,450.75
1783386000000,450.73,452.66,448.05,450.9
1783389600000,450.92,451.65,448.48,448.73
1783393200000,448.88,448.95,441.85,443.07
1783396800000,443.16,443.41,440.19,442.21
1783400400000,441.95,446.27,440.28,446.27
1783404000000,446.29,447.67,444.9,446.95
1783407600000,446.9,448.64,443.0,443.0
1783411200000,443.36,444.52,442.64,444.0
1783414800000,442.99,444.25,442.24,443.61
1783418400000,443.58,445.06,443.05,443.05
1783422000000,442.57,442.79,440.42,442.62
1783425600000,443.04,444.57,442.14,442.23
1783429200000,442.17,442.59,434.36,436.28
1783432800000,436.07,437.01,429.09,431.91
1783436400000,431.07,432.27,428.17,432.27
1783440000000,432.49,438.05,432.49,435.94
1783443600000,436.37,438.12,435.52,435.84
1783447200000,435.84,435.84,431.02,431.76
1783450800000,430.9,433.27,429.02,433.24
1783454400000,433.15,434.49,432.67,434.18
1783458000000,434.29,434.77,432.72,432.72
1783461600000,432.56,433.61,432.02,433.55
1783465200000,433.57,433.76,430.78,430.78
1783468800000,431.55,439.29,431.02,438.32
1783472400000,438.21,438.79,434.75,436.88
1783476000000,436.54,438.16,435.76,438.1
1783479600000,438.29,440.32,437.97,437.97
1783483200000,438.41,438.96,435.97,436.72
1783486800000,436.79,439.34,435.75,437.07
1783490400000,436.95,437.74,435.53,435.87
1783494000000,435.43,437.22,433.95,436.9
1783497600000,437.21,439.66,427.51,429.95
1783501200000,429.73,430.63,425.02,427.61
1783504800000,427.14,430.59,427.12,428.77
1783508400000,428.97,430.86,427.85,430.86
1783512000000,430.23,432.33,429.49,429.58
1783515600000,430.15,440.25,427.93,437.81
1783519200000,437.57,438.25,432.33,434.47
1783522800000,434.44,435.08,430.1,431.29
1783526400000,432.26,439.4,431.98,439.4
1783530000000,439.06,439.94,435.87,436.28
1783533600000,436.44,437.8,436.25,436.32
1783537200000,437.21,437.3,435.22,436.94
1783540800000,436.47,437.39,435.6,435.82
1783544400000,435.89,436.79,435.48,436.66
1783548000000,436.53,436.96,436.08,436.55
1783551600000,436.91,438.57,436.58,438.57
1783555200000,439.47,441.06,438.29,439.0
1783558800000,438.96,439.68,437.25,437.25
1783562400000,436.99,439.29,436.23,436.86
1783566000000,436.44,438.06,435.49,437.97
1783569600000,437.89,438.68,437.28,438.58
1783573200000,438.3,438.94,436.35,438.93
1783576800000,439.4,440.9,439.33,440.22
1783580400000,440.21,442.51,439.99,442.27
1783584000000,442.39,442.39,439.68,441.27
1783587600000,440.81,442.6,440.25,441.16
1783591200000,440.48,441.59,439.08,439.08
1783594800000,439.65,443.69,439.2,443.28
1783598400000,443.38,447.48,443.09,445.97
1783602000000,445.95,448.11,440.52,443.04
1783605600000,443.67,444.88,437.85,443.3
1783609200000,442.34,444.85,441.89,444.34
1783612800000,444.43,444.91,440.92,441.65
1783616400000,441.82,443.38,440.49,440.69
1783620000000,441.03,441.03,438.74,440.42
1783623600000,440.46,440.46,436.95,437.31
1783627200000,436.77,439.9,436.65,439.19
1783630800000,439.21,439.57,439.05,439.33
1783634400000,439.33,439.51,438.35,438.87
1783638000000,438.87,439.77,438.53,439.56
1783641600000,439.65,439.65,435.66,439.15
1783645200000,439.59,441.5,438.15,441.1
1783648800000,441.11,442.0,440.02,441.93
1783652400000,442.04,442.4,441.22,441.85
1783656000000,441.87,442.65,441.32,441.32
1783659600000,441.51,441.51,439.06,439.34
1783663200000,439.35,440.0,437.95,439.76
1783666800000,439.59,439.79,436.98,437.22
1783670400000,437.29,439.15,436.67,438.42
1783674000000,438.55,439.16,437.5,438.99
1783677600000,438.97,439.53,438.4,439.01
1783681200000,439.23,440.14,437.69,437.88
1783684800000,437.97,439.67,436.39,436.67
1783688400000,436.61,439.11,428.54,434.08
1783692000000,434.44,436.06,431.26,432.83
1783695600000,432.61,436.81,432.18,433.55
1783699200000,433.39,438.72,433.39,437.84
1783702800000,437.6,439.71,437.6,437.91
1783706400000,437.98,438.34,436.22,436.56
1783710000000,436.64,437.92,434.36,434.51
1783713600000,434.51,435.45,434.51,435.42
1783717200000,435.37,435.78,435.22,435.63
1783720800000,435.59,435.83,435.4,435.83
1783724400000,435.93,436.4,435.46,436.15
1783728000000,436.43,436.71,434.49,435.33
1783731600000,436.16,436.16,435.38,435.38
1783735200000,436.13,436.46,436.13,436.46
1783738800000,436.69,436.89,436.41,436.46
1783742400000,436.78,437.01,436.7,436.7
1783746000000,436.76,437.08,436.62,436.89
1783749600000,436.89,437.63,436.89,437.63
1783753200000,437.34,438.57,437.34,437.44
1783756800000,437.69,438.32,437.69,438.32
1783760400000,438.47,439.52,438.44,439.52
1783764000000,439.52,440.3,439.39,439.42
1783767600000,439.94,439.99,439.51,439.68
1783771200000,439.67,439.67,438.46,438.46
1783774800000,438.59,439.04,438.36,439.03
1783778400000,439.02,439.02,437.45,438.66
1783782000000,439.5,439.57,438.21,438.5
1783785600000,438.65,439.03,438.22,439.03
1783789200000,438.77,439.51,438.21,438.78
1783792800000,439.03,439.03,439.03,439.03
1783796400000,439.03,439.03,439.03,439.03
1783800000000,439.16,439.16,438.96,439.16
1783803600000,439.27,439.27,437.65,437.88
1783807200000,438.23,440.12,438.23,438.88
1783810800000,438.82,438.82,437.1,437.78
1783814400000,437.55,438.21,437.1,437.24
1783818000000,436.97,437.21,436.72,436.97
1783821600000,437.12,437.12,436.13,436.92
1783825200000,437.44,437.44,436.72,436.8
1783828800000,436.61,437.13,436.61,436.61
1783832400000,436.65,436.92,436.58,436.71
1783836000000,436.71,436.85,435.9,436.79
1783839600000,436.92,437.15,436.81,436.99
1783843200000,436.88,437.32,436.26,437.32
1783846800000,437.49,437.77,436.28,437.24
1783850400000,437.24,437.25,437.06,437.21
1783854000000,437.25,437.25,437.25,437.25
1783857600000,437.37,437.45,436.91,437.42
1783861200000,437.34,437.92,436.93,436.93
1783864800000,437.15,437.91,437.14,437.91
1783868400000,437.87,437.87,436.86,437.07
1783872000000,437.57,437.83,437.12,437.31
1783875600000,437.49,437.49,436.83,436.83
1783879200000,437.16,437.5,437.16,437.43
1783882800000,437.37,437.67,437.37,437.52
1783886400000,437.73,437.73,437.42,437.42
1783890000000,437.88,437.88,437.02,437.04
1783893600000,437.0,437.33,436.83,437.22
1783897200000,436.74,436.9,436.5,436.56
1783900800000,436.43,440.74,434.78,435.16
1783904400000,434.72,439.01,432.45,435.98
1783908000000,435.79,438.32,435.65,436.44
1783911600000,436.44,437.04,434.65,434.65
1783915200000,434.49,434.83,432.45,432.63
1783918800000,432.43,436.55,432.26,432.93
1783922400000,433.44,433.59,430.17,431.17
1783926000000,430.43,433.96,430.36,431.7
1783929600000,432.32,434.28,432.11,433.5
1783933200000,433.53,435.92,433.24,434.96
1783936800000,434.55,434.55,433.36,434.11
1783940400000,434.92,435.92,434.03,434.2
1783944000000,434.3,435.24,433.1,434.76
1783947600000,434.5,437.71,425.96,428.04
1783951200000,428.32,434.81,425.93,431.44
1783954800000,432.33,432.38,428.58,428.97
1783958400000,429.16,429.89,424.33,426.22
1783962000000,426.32,426.47,423.18,423.53
1783965600000,423.6,424.5,422.47,423.92
1783969200000,423.38,424.76,421.59,421.61
1783972800000,422.1,422.86,421.78,422.4
1783976400000,422.87,423.44,422.87,423.26
1783980000000,423.81,423.99,423.25,423.62
1783983600000,423.43,423.89,421.87,423.89
1783987200000,423.99,426.51,422.56,426.36
1783990800000,426.36,428.17,424.3,424.3
1783994400000,424.41,425.29,422.32,423.77
1783998000000,423.54,423.66,419.79,423.43
1784001600000,423.94,425.2,422.37,425.06
1784005200000,425.0,428.0,425.0,427.43
1784008800000,427.97,428.92,427.18,427.41
1784012400000,427.29,428.04,426.9,427.58
1784016000000,427.99,428.22,425.85,427.48
1784019600000,427.16,427.77,426.9,426.9
1784023200000,427.17,427.5,426.62,426.62
1784026800000,425.97,429.29,425.97,428.61
1784030400000,428.59,433.27,427.46,431.18
1784034000000,432.09,432.87,420.75,424.62
1784037600000,424.42,425.95,420.1,423.47
1784041200000,423.48,426.31,422.12,422.53
1784044800000,422.7,422.7,419.22,421.14
1784048400000,421.15,423.9,421.15,423.38
1784052000000,423.73,424.48,422.79,423.43
1784055600000,423.29,423.29,420.6,420.98
1784059200000,421.05,422.39,420.54,422.24
1784062800000,422.77,423.15,422.39,423.12
1784066400000,422.81,422.94,422.47,422.69
1784070000000,422.64,424.23,421.51,424.23
1784073600000,424.15,425.49,423.57,424.88
1784077200000,424.33,426.13,423.62,426.02
1784080800000,426.02,427.35,425.99,426.85
1784084400000,426.96,428.69,426.66,428.38
1784088000000,428.31,428.58,426.85,427.62
1784091600000,428.6,430.91,427.64,430.4
1784095200000,430.7,431.11,429.21,429.32
1784098800000,429.14,429.52,427.42,429.17
1784102400000,429.25,429.25,423.69,426.99
1784106000000,427.55,428.46,426.25,426.29
1784109600000,426.47,427.05,426.24,426.9
1784113200000,427.85,427.93,426.66,426.93
1784116800000,426.9,427.23,424.99,427.23
1784120400000,426.46,428.14,421.62,423.97
1784124000000,424.45,424.64,415.29,420.73
1784127600000,421.34,421.5,416.95,417.35
1784131200000,417.25,417.27,411.16,415.12
1784134800000,415.54,420.5,415.54,419.74
1784138400000,419.84,422.0,417.7,417.88
1784142000000,418.31,421.95,417.56,419.67
1784145600000,420.37,422.68,419.86,421.02
1784149200000,420.85,422.38,420.57,421.85
1784152800000,421.67,423.05,421.43,423.05
1784156400000,423.04,423.73,422.5,423.73
1784160000000,423.58,424.81,420.07,420.96
1784163600000,420.94,421.92,418.87,420.1
1784167200000,420.17,423.57,419.71,422.92
1784170800000,422.76,423.9,422.04,422.99
1784174400000,422.94,423.44,421.84,422.81
1784178000000,423.09,428.34,416.94,419.66
1784181600000,420.09,421.46,411.0,413.06
1784185200000,413.03,414.19,410.32,410.59
1784188800000,410.81,411.83,397.69,406.45
1784192400000,406.47,407.86,400.81,402.42
1784196000000,402.58,403.85,401.22,402.57
1784199600000,402.24,402.24,398.13,399.72
1784203200000,399.62,405.57,398.4,402.84
1784206800000,403.36,414.21,402.37,409.67
1784210400000,409.86,416.11,409.79,413.2
1784214000000,413.37,414.31,408.5,408.5
1784217600000,408.43,408.92,405.05,407.51
1784221200000,407.33,407.33,403.88,404.35
1784224800000,404.37,406.92,404.22,405.73
1784228400000,405.82,410.12,405.46,410.12
1784232000000,410.2,411.87,409.86,410.7
1784235600000,409.73,410.8,409.46,410.73
1784239200000,411.13,411.13,408.99,409.2
1784242800000,409.4,409.59,406.47,406.54
1784246400000,406.87,408.23,404.71,407.88
1784250000000,408.32,409.81,407.23,407.93
1784253600000,407.71,407.71,402.82,403.17
1784257200000,404.83,407.21,403.91,403.91
1784260800000,403.34,403.99,400.71,400.88
1784264400000,400.84,401.11,394.7,396.5
1784268000000,397.09,399.86,395.62,397.47
1784271600000,397.19,398.43,395.71,395.71
1784275200000,396.84,397.86,388.42,390.3
1784278800000,390.1,395.0,389.74,394.27
1784282400000,394.78,398.95,394.78,397.4
1784286000000,397.71,398.24,396.22,397.11
1784289600000,397.22,397.22,394.84,395.72
1784293200000,395.27,395.46,386.46,394.7
1784296800000,395.24,402.81,395.24,399.19
1784300400000,399.36,403.02,395.41,403.01
1784304000000,402.6,404.76,400.76,402.15
1784307600000,402.4,404.55,399.33,399.51
1784311200000,399.6,399.67,396.46,397.49
1784314800000,397.2,400.01,394.58,397.89
1784318400000,398.28,398.7,397.42,397.64
1784322000000,397.92,398.59,397.5,398.19
1784325600000,397.98,399.43,397.98,398.97
1784329200000,398.96,399.1,398.13,398.13
1784332800000,397.89,398.43,397.72,398.26
1784336400000,398.8,399.3,398.79,399.3
1784340000000,399.28,400.51,399.28,400.51
1784343600000,400.29,400.77,400.22,400.58
1784347200000,400.46,400.46,399.66,400.42
1784350800000,400.38,400.74,400.08,400.62
1784354400000,400.46,400.51,400.19,400.45
1784358000000,400.47,400.77,400.12,400.12
1784361600000,400.45,400.45,399.76,400.14
1784365200000,400.2,400.46,398.46,398.46
1784368800000,398.41,399.05,398.4,398.71
1784372400000,398.49,398.68,398.35,398.63
1784376000000,398.59,398.59,398.02,398.05
1784379600000,398.15,399.02,397.87,398.72
1784383200000,398.9,398.97,397.81,398.18
1784386800000,398.04,398.49,397.74,397.94
1784390400000,397.81,398.25,397.54,397.84
1784394000000,397.93,398.33,397.46,398.17
1784397600000,398.15,398.3,397.37,397.46
1784401200000,397.46,397.71,397.36,397.45
1784404800000,397.47,397.83,397.35,397.51
1784408400000,397.53,399.47,397.53,399.02
1784412000000,399.04,399.56,398.53,399.36
1784415600000,399.31,399.88,398.96,399.43
1784419200000,398.92,400.41,398.92,400.41
1784422800000,400.03,401.02,399.74,400.39
1784426400000,400.45,400.88,399.97,400.44
1784430000000,400.39,401.45,400.39,401.03
1784433600000,400.84,402.23,400.63,400.83
1784437200000,401.07,401.07,400.45,400.6
1784440800000,400.43,401.11,400.09,400.51
1784444400000,400.68,400.97,400.65,400.65
1784448000000,400.83,402.69,400.83,402.47
1784451600000,402.36,402.36,400.77,400.87
1784455200000,400.92,400.92,400.07,400.13
1784458800000,399.88,401.34,399.77,399.99
1784462400000,400.01,400.28,399.61,399.83
1784466000000,399.83,401.2,399.63,399.63
1784469600000,399.46,400.86,398.81,400.31
1784473200000,400.35,400.59,399.04,399.37
1784476800000,399.13,399.85,398.69,398.69
1784480400000,398.57,400.14,398.57,399.35
1784484000000,399.38,400.83,399.02,399.02
1784487600000,399.15,400.35,399.15,400.23
1784491200000,400.23,401.56,400.19,401.55
1784494800000,401.31,401.83,401.07,401.07
1784498400000,401.12,401.95,401.11,401.59
1784502000000,400.99,401.3,399.73,400.46
1784505600000,400.61,405.1,398.97,399.15
1784509200000,400.07,402.81,399.57,400.26
1784512800000,400.33,402.1,399.94,401.62
1784516400000,402.02,402.37,400.91,401.87
1784520000000,402.38,402.78,401.54,402.08
1784523600000,402.15,402.16,400.16,401.02
1784527200000,400.83,400.86,398.76,398.77
1784530800000,399.37,402.69,398.93,402.69
1784534400000,401.77,404.32,400.95,404.1
1784538000000,404.16,405.92,403.66,404.53
1784541600000,404.19,407.53,404.05,407.1
1784545200000,407.63,410.0,406.96,409.34
1784548800000,409.14,409.48,407.28,408.09
1784552400000,408.89,410.34,404.1,404.74
1784556000000,404.58,406.27,400.57,400.89
1784559600000,400.94,405.65,400.94,404.74
1784563200000,404.77,407.18,403.99,404.34
1784566800000,404.34,404.5,403.06,403.69
1784570400000,403.94,404.41,402.04,402.22
1784574000000,402.46,403.46,400.43,402.57
1784577600000,402.72,402.96,401.23,402.81
1784581200000,402.82,403.74,402.81,403.58
1784584800000,403.63,403.63,402.41,402.75
1784588400000,402.59,404.01,402.58,403.6
1784592000000,403.51,404.26,401.31,403.78
1784595600000,403.82,407.39,403.63,406.22
1784599200000,406.44,407.89,406.27,407.84
1784602800000,407.99,409.98,407.99,409.62
1784606400000,409.58,409.83,409.23,409.23
1784610000000,409.31,413.07,409.22,412.52
1784613600000,412.74,414.59,412.56,413.63
1784617200000,414.13,414.13,412.66,413.83
1784620800000,413.82,417.66,413.22,417.66
1784624400000,417.78,418.26,416.68,416.95
1784628000000,417.03,418.85,416.95,417.72
1784631600000,417.39,418.03,416.55,417.58
1784635200000,417.93,418.16,416.08,417.74
1784638800000,417.81,419.86,414.82,416.18
1784642400000,417.06,418.92,413.85,418.56
1784646000000,419.29,422.38,418.71,419.83
1784649600000,420.1,422.96,420.1,422.59
1784653200000,422.84,425.25,422.82,423.89
1784656800000,423.93,424.98,423.3,424.74
1784660400000,424.59,425.37,423.67,424.83
1784664000000,424.81,425.56,424.61,425.45
1784667600000,425.47,426.26,425.26,425.95
1784671200000,425.69,425.83,424.76,424.76
1784674800000,424.58,425.4,424.56,425.05
1784678400000,425.09,426.16,422.5,422.65
1784682000000,421.92,422.5,419.43,421.08
1784685600000,420.77,421.0,417.64,417.84
1784689200000,417.98,419.99,417.11,418.76
1784692800000,418.64,419.44,418.31,418.4
1784696400000,418.06,418.09,416.26,416.7
1784700000000,416.18,416.18,413.13,415.69
1784703600000,415.9,415.94,414.19,415.16
1784707200000,415.36,416.59,414.39,415.31
1784710800000,415.31,416.82,415.18,415.19
1784714400000,415.97,417.04,415.82,416.62
1784718000000,417.52,417.52,414.06,414.42
1784721600000,414.12,414.39,412.11,413.31
1784725200000,413.63,420.99,413.42,420.66
1784728800000,420.78,422.31,418.13,420.99
1784732400000,421.44,424.82,421.44,423.69
1784736000000,423.77,423.83,421.66,422.97
1784739600000,422.97,423.21,421.21,421.21
1784743200000,421.42,422.91,421.21,422.91
1784746800000,422.74,423.64,421.74,421.8
1784750400000,421.3,423.19,421.11,423.03
1784754000000,423.66,425.96,423.03,423.78
1784757600000,423.84,423.88,421.89,422.38
1784761200000,422.26,423.04,421.77,422.87
1784764800000,423.13,424.24,422.35,423.34
1784768400000,423.17,423.5,418.81,419.75
1784772000000,419.69,419.69,416.6,417.63
1784775600000,417.1,419.29,416.53,419.11
1784779200000,419.18,420.1,418.83,419.73
1784782800000,419.13,423.0,419.13,421.7
1784786400000,421.51,421.96,420.66,421.37
1784790000000,420.44,420.56,418.53,419.24
1784793600000,419.86,422.48,419.47,422.44
1784797200000,423.27,423.72,422.44,422.44
1784800800000,422.49,423.41,422.26,423.15
1784804400000,423.08,423.08,419.13,420.08
1784808000000,420.38,420.38,415.83,416.17
1784811600000,416.14,420.8,413.48,417.66
1784815200000,418.26,420.71,416.08,416.8
1784818800000,416.32,416.32,412.0,415.34
1784822400000,415.29,419.47,415.11,417.88
1784826000000,417.66,418.49,415.71,415.9
1784829600000,415.75,416.07,414.3,414.67
1784833200000,414.87,416.04,413.61,415.74
1784836800000,415.7,418.57,415.59,417.43
1784840400000,417.33,417.33,415.36,415.66
1784844000000,414.96,415.61,413.65,415.45
1784847600000,415.24,415.24,414.16,414.56
1784851200000,414.47,415.27,414.16,414.53
1784854800000,414.67,414.91,413.19,413.3
1784858400000,413.28,413.78,411.62,411.95
1784862000000,411.79,412.54,411.63,412.02
1784865600000,411.86,412.39,411.46,412.39
1784869200000,412.33,413.62,412.19,412.27
1784872800000,411.88,412.37,411.07,411.53
1784876400000,412.45,414.41,412.45,413.58
1784880000000,413.62,413.65,412.64,413.46
1784883600000,413.8,416.01,413.79,415.71
1784887200000,415.54,415.54,414.24,414.56
1784890800000,414.86,415.67,414.53,415.67
1784894400000,415.4,416.03,412.93,412.93
1784898000000,412.8,413.38,405.6,406.58
1784901600000,406.45,408.56,402.91,406.71
1784905200000,406.43,407.87,404.82,407.61
1784908800000,407.64,410.74,406.07,407.27
1784912400000,407.41,408.12,406.04,406.74
1784916000000,406.56,408.11,404.89,405.36
1784919600000,404.74,404.95,401.28,404.12
1784923200000,403.8,404.04,401.93,402.77
1784926800000,402.77,403.35,402.49,402.86
1784930400000,402.93,403.37,402.73,403.23
1784934000000,403.0,403.26,402.3,402.49
1784937600000,402.63,403.47,402.49,403.05
1784941200000,403.2,403.41,402.59,402.61
1784944800000,402.57,403.07,401.72,403.05
1784948400000,403.05,403.09,402.74,403.09
1784952000000,403.43,403.75,403.35,403.55
1784955600000,403.46,403.78,403.46,403.78
1784959200000,403.93,403.95,403.73,403.73
1784962800000,403.57,403.82,402.53,403.7
1784966400000,403.77,403.88,403.77,403.88
1784970000000,403.96,404.16,403.5,404.1
1784973600000,404.16,404.21,404.08,404.08
1784977200000,404.13,404.22,403.88,403.88
1784980800000,404.23,404.37,404.23,404.32
1784984400000,404.31,404.89,404.31,404.87
1784988000000,404.33,404.82,404.33,404.82
1784991600000,404.87,405.0,404.71,404.83
1784995200000,404.85,405.0,404.85,404.95
1784998800000,404.93,405.24,404.88,405.24
1785002400000,405.56,405.59,405.56,405.59
1785006000000,405.62,405.89,405.62,405.87
1785009600000,405.85,406.63,405.85,406.55
1785013200000,406.67,407.36,406.53,407.14
1785016800000,407.37,407.48,407.08,407.08
1785020400000,407.08,407.08,407.08,407.08
1785024000000,407.44,407.68,407.27,407.39
1785027600000,407.6,408.17,407.55,407.91
1785031200000,408.17,408.41,407.89,408.23
1785034800000,408.28,408.58,408.28,408.57
1785038400000,408.58,408.73,408.58,408.73
1785042000000,408.26,408.44,407.92,408.2
1785045600000,408.12,408.21,407.97,408.09
1785049200000,407.87,408.27,407.86,408.06
1785052800000,407.98,408.17,407.94,408.17
1785056400000,408.27,408.27,407.73,407.73
1785060000000,407.93,408.54,407.93,408.49
1785063600000,408.42,408.95,408.33,408.95
1785067200000,408.64,408.89,408.64,408.64
1785070800000,408.53,409.07,408.53,409.07
1785074400000,409.07,409.22,408.77,408.77
1785078000000,409.2,409.87,409.19,409.7
1785081600000,409.77,410.57,409.77,410.4
1785085200000,410.48,410.89,410.48,410.66
1785088800000,410.66,410.66,410.22,410.22
1785092400000,410.23,410.23,409.46,409.49
1785096000000,409.32,409.32,409.0,409.0
1785099600000,409.03,410.02,408.75,409.9
1785103200000,410.13,411.39,410.13,410.95
1785106800000,411.51,411.88,411.01,411.88
1785110400000,411.59,411.75,407.59,408.09
1785114000000,407.89,409.09,406.74,408.91
1785117600000,409.01,409.47,408.29,409.13
1785121200000,408.76,409.06,407.84,408.2
1785124800000,408.13,408.89,408.09,408.89
1785128400000,409.43,410.51,409.43,410.31
1785132000000,410.44,411.3,410.44,411.15
1785135600000,411.09,412.07,410.24,410.24
1785139200000,410.4,411.84,409.64,411.84
1785142800000,411.76,412.18,411.47,412.17
1785146400000,412.11,412.25,410.7,410.88
1785150000000,410.46,410.79,409.53,409.91
1785153600000,410.19,410.3,409.04,409.72
1785157200000,408.31,408.9,400.29,400.78
1785160800000,400.68,400.77,389.04,395.61
1785164400000,395.48,395.79,389.48,394.02
1785168000000,394.27,397.23,392.83,393.24
1785171600000,393.19,393.83,390.8,392.34
1785175200000,392.26,395.12,391.47,395.12
1785178800000,395.16,400.0,395.01,399.72
1785182400000,399.6,400.0,397.8,399.02
1785186000000,398.85,399.21,398.85,399.21
1785189600000,399.32,399.32,396.75,396.87
1785193200000,396.79,398.01,396.0,397.73
1785196800000,397.69,398.5,392.7,393.22
1785200400000,393.2,394.38,391.99,393.6
1785204000000,392.0,392.55,390.39,390.57
1785207600000,390.33,392.94,389.22,392.83
1785211200000,392.56,392.96,391.06,391.3
1785214800000,391.3,391.76,388.84,388.91
1785218400000,388.96,390.81,388.5,390.71
1785222000000,390.84,391.18,388.2,388.38
1785225600000,388.58,390.55,385.21,389.73
1785229200000,389.16,389.45,386.27,386.45
1785232800000,386.6,386.72,384.14,385.04
1785236400000,384.91,385.01,381.3,383.06
1785240000000,384.44,385.74,382.75,383.89
1785243600000,383.71,390.63,382.55,384.47
1785247200000,383.92,388.07,381.61,386.34
1785250800000,386.47,393.91,385.13,392.98
1785254400000,392.97,394.09,390.03,392.93
1785258000000,392.78,393.12,389.51,389.95
1785261600000,390.02,392.4,389.98,392.32
1785265200000,392.34,395.47,392.34,392.65
1785268800000,392.75,394.88,391.3,394.72
1785272400000,394.75,395.26,394.57,394.59
1785276000000,394.26,394.89,386.98,387.32
1785279600000,387.17,395.68,386.79,395.46
1785283200000,395.85,399.01,392.79,394.09
1785286800000,393.81,393.9,386.89,387.13
1785290400000,386.91,389.29,383.81,383.95
1785294000000,384.01,386.51,380.83,380.86
1785297600000,380.93,381.89,378.25,381.68
1785301200000,381.89,384.86,381.7,384.28
1785304800000,384.0,387.16,382.95,387.16
1785308400000,386.95,387.86,386.32,386.5
1785312000000,386.47,387.92,383.73,386.88
1785315600000,386.96,393.48,386.96,392.15
1785319200000,391.98,392.77,388.21,388.75
1785322800000,388.82,391.08,388.16,390.3
1785326400000,390.38,390.69,387.82,388.88
1785330000000,389.01,391.29,382.08,383.18
1785333600000,383.71,386.71,377.57,379.82
1785337200000,380.04,380.89,375.21,376.44
1785340800000,376.73,378.74,374.23,378.31
1785344400000,378.62,381.6,378.28,381.6
1785348000000,381.88,389.87,381.88,389.43
1785351600000,389.58,390.74,373.78,374.98
1785355200000,374.96,375.86,371.42,372.24
1785358800000,372.24,372.51,368.45,370.52
1785362400000,370.74,375.22,370.74,372.97
1785366000000,372.95,375.05,372.82,374.75
1785369600000,374.75,380.55,374.37,377.85
1785373200000,378.08,386.15,377.03,383.26
1785376800000,383.03,383.34,380.23,380.36
1785380400000,380.55,381.79,378.55,379.95
1785384000000,380.24,380.72,376.8,376.8
1785387600000,377.04,379.36,375.81,378.84
1785391200000,378.54,378.69,376.2,376.46
1785394800000,376.4,378.72,375.0,376.29
1785398400000,376.0,379.45,374.95,378.62
1785402000000,378.2,380.2,378.2,378.36
1785405600000,378.42,382.66,378.16,381.64
1785409200000,381.62,385.9,381.62,385.44
1785412800000,385.56,389.17,384.7,388.7
1785416400000,388.42,402.0,388.26,401.62
1785420000000,401.73,406.57,398.07,399.31
1785423600000,399.22,401.74,397.9,401.19
1785427200000,401.34,404.34,401.28,403.12
1785430800000,403.95,404.83,402.64,403.14
1785434400000,403.3,403.47,402.33,403.4
1785438000000,404.11,405.9,403.23,403.45
1785441600000,403.62,406.0,403.33,405.11
1785445200000,404.99,408.34,404.29,408.23
1785448800000,408.16,411.6,408.16,410.91
1785452400000,410.93,412.78,409.54,412.67
1785456000000,412.61,413.75,409.64,412.35
1785459600000,412.41,416.25,412.16,412.57
1785463200000,413.24,415.05,411.06,415.05
1785466800000,414.76,415.02,413.19,413.72
1785470400000,413.26,416.51,412.59,416.3
1785474000000,416.31,418.26,416.31,417.94
1785477600000,417.66,418.79,410.96,413.5
1785481200000,412.62,418.43,411.82,418.43
1785484800000,418.25,422.52,416.21,420.23
1785488400000,420.06,421.91,418.04,418.63
1785492000000,418.76,419.24,417.74,417.74
