t,o,h,l,c
1781499600000,112.17,112.23,111.11,111.52
1781503200000,111.52,111.72,110.75,111.61
1781506800000,111.61,112.26,111.5,111.84
1781510400000,111.84,112.4,111.61,112.14
1781514000000,112.14,112.31,112.07,112.24
1781517600000,112.24,112.26,112.05,112.05
1781521200000,112.05,112.61,112.05,112.58
1781524800000,112.58,112.89,112.52,112.88
1781528400000,112.88,113.9,112.38,113.57
1781532000000,113.57,113.66,113,113.23
1781535600000,113.23,113.33,112.95,113.01
1781539200000,113.01,113.35,112.9,113.23
1781542800000,113.23,113.24,112.63,112.65
1781546400000,112.65,112.68,112.31,112.32
1781550000000,112.32,112.63,112.23,112.63
1781553600000,112.63,113.36,112.47,113.24
1781557200000,113.24,113.3,113.14,113.25
1781560800000,113.25,113.26,112.8,112.89
1781564400000,112.89,113.15,112.89,113.11
1781568000000,113.11,113.5,112.75,112.75
1781571600000,112.75,112.88,109.98,110.81
1781575200000,110.81,111,109.35,109.95
1781578800000,109.95,110.26,109.81,110.18
1781582400000,110.18,110.33,110.12,110.33
1781586000000,110.33,110.39,109.54,109.73
1781589600000,109.73,109.8,108.98,109.33
1781593200000,109.33,109.59,109.18,109.49
1781596800000,109.49,109.98,109.47,109.96
1781600400000,109.96,110.11,109.86,109.98
1781604000000,109.98,110.09,109.86,110.04
1781607600000,110.04,110.41,109.79,109.84
1781611200000,109.84,109.87,109.57,109.71
1781614800000,109.71,110.69,109.26,110.08
1781618400000,110.08,110.33,109.13,109.59
1781622000000,109.59,110.28,109.59,110.18
1781625600000,110.18,110.28,109.69,109.88
1781629200000,109.88,110.03,109.67,109.99
1781632800000,109.99,110.5,109.93,110.42
1781636400000,110.42,111.28,110.1,111.01
1781640000000,111.01,111.26,110.86,111.2
1781643600000,111.2,111.27,111.07,111.19
1781647200000,111.19,111.22,111.04,111.04
1781650800000,111.04,111.1,110.97,110.97
1781654400000,110.97,111.24,110.83,110.87
1781658000000,110.87,110.99,109.37,110.28
1781661600000,110.28,110.56,108.71,108.76
1781665200000,108.76,110.1,108.47,109.8
1781668800000,109.8,109.86,109.54,109.68
1781672400000,109.68,109.76,109.07,109.18
1781676000000,109.18,109.29,108.82,109.25
1781679600000,109.25,109.69,109.21,109.44
1781683200000,109.44,109.57,109.21,109.35
1781686800000,109.35,109.96,109.3,109.58
1781690400000,109.58,109.68,109.39,109.66
1781694000000,109.66,109.8,109.38,109.47
1781697600000,109.47,109.51,109.29,109.36
1781701200000,109.36,110.36,109.21,109.92
1781704800000,109.92,110.62,109.66,109.73
1781708400000,109.73,110.22,109.55,109.55
1781712000000,109.55,109.69,109.43,109.67
1781715600000,109.67,109.68,109.49,109.65
1781719200000,109.65,109.66,108.64,108.75
1781722800000,108.75,108.89,107.49,107.56
1781726400000,107.56,107.91,107.51,107.83
1781730000000,107.83,108.24,107.82,108.17
1781733600000,108.17,108.49,108.14,108.45
1781737200000,108.45,108.71,108.39,108.52
1781740800000,108.52,109.05,108.02,108.54
1781744400000,108.54,108.56,106.03,106.49
1781748000000,106.49,106.73,105.51,106.17
1781751600000,106.17,106.25,105.48,106.14
1781755200000,106.14,106.26,105.86,105.88
1781758800000,105.88,105.96,105,105.35
1781762400000,105.35,105.58,105.07,105.57
1781766000000,105.57,105.72,105.22,105.39
1781769600000,105.39,106.95,105.39,106.24
1781773200000,106.24,106.53,106.12,106.43
1781776800000,106.43,106.7,106.25,106.28
1781780400000,106.28,106.48,106.16,106.27
1781784000000,106.27,106.73,106.22,106.67
1781787600000,106.67,106.87,105.6,106.02
1781791200000,106.02,106.78,106.01,106.67
1781794800000,106.67,106.77,106.07,106.16
1781798400000,106.16,106.2,105.73,106
1781802000000,106,106.22,105.87,106.15
1781805600000,106.15,106.33,105.98,106.29
1781809200000,106.29,107.4,106.05,107.12
1781812800000,107.12,107.36,106.86,107.34
1781816400000,107.34,107.37,107.22,107.3
1781820000000,107.3,107.34,107.19,107.26
1781823600000,107.26,107.31,107.21,107.25
1781827200000,107.25,107.33,106.97,107.05
1781830800000,107.05,107.13,106.93,107.06
1781834400000,107.06,107.15,107.02,107.08
1781838000000,107.08,107.23,107.04,107.08
1781841600000,107.08,107.29,106.98,107.01
1781845200000,107.01,107.41,107.01,107.41
1781848800000,107.41,107.45,107.26,107.28
1781852400000,107.28,107.49,107.26,107.47
1781856000000,107.47,107.5,107.39,107.42
1781859600000,107.42,107.76,107.42,107.76
1781863200000,107.76,107.78,107.46,107.61
1781866800000,107.61,107.64,107.54,107.61
1781870400000,107.61,107.74,107.56,107.67
1781874000000,107.67,107.85,107.57,107.77
1781877600000,107.77,107.79,107.67,107.68
1781881200000,107.68,107.83,107.52,107.83
1781884800000,107.83,107.91,107.65,107.68
1781888400000,107.68,107.77,107.6,107.64
1781892000000,107.64,107.72,107.59,107.72
1781895600000,107.72,107.72,107.61,107.61
1781899200000,107.61,107.66,107.56,107.66
1781902800000,107.66,107.68,107.48,107.48
1781906400000,107.48,107.81,107.47,107.76
1781910000000,107.76,107.83,107.75,107.82
1781913600000,107.82,108,107.82,107.96
1781917200000,107.96,107.97,107.65,107.69
1781920800000,107.69,107.77,107.65,107.77
1781924400000,107.77,107.78,107.7,107.77
1781928000000,107.77,108.03,107.72,108.01
1781931600000,108.01,108.06,107.93,108.05
1781935200000,108.05,108.12,108,108.07
1781938800000,108.07,108.08,107.78,107.78
1781942400000,107.78,107.83,107.71,107.73
1781946000000,107.73,107.73,107.59,107.67
1781949600000,107.67,107.74,107.56,107.56
1781953200000,107.56,107.6,107.54,107.55
1781956800000,107.55,107.65,107.54,107.63
1781960400000,107.63,107.69,107.47,107.48
1781964000000,107.48,107.65,107.39,107.65
1781967600000,107.65,107.82,107.64,107.78
1781971200000,107.78,107.79,107.6,107.73
1781974800000,107.73,107.75,107.44,107.47
1781978400000,107.47,107.47,107.26,107.26
1781982000000,107.26,107.47,107.25,107.42
1781985600000,107.42,107.5,107.4,107.46
1781989200000,107.46,107.57,107.39,107.51
1781992800000,107.51,107.73,107.44,107.67
1781996400000,107.67,107.78,107.58,107.65
1782000000000,107.65,107.7,107.59,107.7
1782003600000,107.7,107.71,107.62,107.67
1782007200000,107.67,107.72,107.63,107.7
1782010800000,107.7,107.86,107.66,107.86
1782014400000,107.86,107.89,107.66,107.67
1782018000000,107.67,107.67,107.52,107.54
1782021600000,107.54,107.63,107.52,107.61
1782025200000,107.61,107.61,107.55,107.57
1782028800000,107.57,107.57,107.35,107.41
1782032400000,107.41,107.56,107.39,107.52
1782036000000,107.52,107.6,107.51,107.52
1782039600000,107.52,107.53,107.48,107.5
1782043200000,107.5,107.51,107.42,107.51
1782046800000,107.51,107.56,107.51,107.53
1782050400000,107.53,107.58,107.52,107.58
1782054000000,107.58,107.59,107.52,107.57
1782057600000,107.57,107.58,107.53,107.54
1782061200000,107.54,107.72,107.54,107.72
1782064800000,107.72,107.8,107.72,107.8
1782068400000,107.8,107.8,107.72,107.74
1782072000000,107.74,107.77,107.67,107.67
1782075600000,107.67,107.7,107.4,107.45
1782079200000,107.45,107.89,107.42,107.83
1782082800000,107.83,107.89,107.02,107.04
1782086400000,107.04,107.3,106.27,106.42
1782090000000,106.42,106.82,103.51,103.82
1782093600000,103.82,104.79,103.33,104.74
1782097200000,104.74,105.14,104.42,104.52
1782100800000,104.52,104.97,104.47,104.83
1782104400000,104.83,105.08,104.22,104.41
1782108000000,104.41,106.06,104.39,106
1782111600000,106,106.01,105.24,105.25
1782115200000,105.25,105.43,104.88,105.25
1782118800000,105.25,105.56,105.25,105.36
1782122400000,105.36,105.47,105.34,105.44
1782126000000,105.44,105.69,105.41,105.67
1782129600000,105.67,105.67,105.42,105.64
1782133200000,105.64,105.85,104.73,105.48
1782136800000,105.48,105.66,104.08,104.23
1782140400000,104.23,106.61,104.22,105.84
1782144000000,105.84,105.94,105.12,105.37
1782147600000,105.37,105.38,105.02,105.05
1782151200000,105.05,105.3,104.96,105.02
1782154800000,105.02,105.14,104.93,105.08
1782158400000,105.08,105.26,104.98,105.05
1782162000000,105.05,105.1,104.95,105.04
1782165600000,105.04,105.2,104.96,105.08
1782169200000,105.08,105.2,105.05,105.16
1782172800000,105.16,105.53,104.99,105.32
1782176400000,105.32,105.7,104.29,104.74
1782180000000,104.74,104.74,102.27,102.29
1782183600000,102.29,102.52,101.59,102.19
1782187200000,102.19,102.4,102.12,102.12
1782190800000,102.12,102.12,101.44,101.68
1782194400000,101.68,101.8,100.98,101.43
1782198000000,101.43,101.7,101.12,101.16
1782201600000,101.16,101.42,101.06,101.21
1782205200000,101.21,101.91,101.19,101.9
1782208800000,101.9,102.07,101.84,102.06
1782212400000,102.06,102.48,102.06,102.31
1782216000000,102.31,102.31,101.78,101.8
1782219600000,101.8,103.6,101.77,102.89
1782223200000,102.89,103.07,102.42,102.53
1782226800000,102.53,102.84,101.96,102.47
1782230400000,102.47,102.91,102.46,102.81
1782234000000,102.81,102.9,102.5,102.52
1782237600000,102.52,102.65,102.32,102.46
1782241200000,102.46,103.34,102.45,102.7
1782244800000,102.7,102.95,102.55,102.85
1782248400000,102.85,103,102.8,102.87
1782252000000,102.87,102.88,102.7,102.79
1782255600000,102.79,102.8,102.61,102.64
1782259200000,102.64,103.62,102.63,103.13
1782262800000,103.13,103.13,100.53,100.65
1782266400000,100.65,100.89,100.1,100.46
1782270000000,100.46,101.22,100.39,100.82
1782273600000,100.82,100.93,100.73,100.87
1782277200000,100.87,103.5,100.6,102.03
1782280800000,102.03,102.27,101.71,102.11
1782284400000,102.11,102.17,101.78,102.09
1782288000000,102.09,102.13,101.65,101.73
1782291600000,101.73,101.8,101.51,101.56
1782295200000,101.56,101.61,101.4,101.52
1782298800000,101.52,101.6,101.07,101.34
1782302400000,101.34,101.35,100.83,100.86
1782306000000,100.86,101.61,100.84,101.57
1782309600000,101.57,101.69,100.64,101.05
1782313200000,101.05,101.77,100.67,101.27
1782316800000,101.27,101.31,100.67,100.72
1782320400000,100.72,100.86,100.33,100.5
1782324000000,100.5,100.85,100.39,100.42
1782327600000,100.42,100.55,99.22,99.8
1782331200000,99.8,100.26,99.68,99.95
1782334800000,99.95,100.29,99.89,100.28
1782338400000,100.28,100.31,100.11,100.14
1782342000000,100.14,100.32,100.05,100.26
1782345600000,100.26,100.49,99.78,100.23
1782349200000,100.23,100.25,97.6,97.91
1782352800000,97.91,98.11,96.69,97.42
1782356400000,97.42,97.91,97.07,97.35
1782360000000,97.35,97.44,97.12,97.41
1782363600000,97.41,97.7,96.53,96.64
1782367200000,96.64,96.88,96,96.27
1782370800000,96.27,97.02,96.27,96.91
1782374400000,96.91,97.1,96.77,97
1782378000000,97,97.07,96.89,97.02
1782381600000,97.02,97.05,96.88,96.98
1782385200000,96.98,97.21,96.8,97.14
1782388800000,97.14,97.55,97.03,97.55
1782392400000,97.55,98.19,94.79,95.31
1782396000000,95.31,96.59,95.3,95.78
1782399600000,95.78,96.03,95.31,95.73
1782403200000,95.73,96.04,95.34,95.4
1782406800000,95.4,95.54,95.12,95.27
1782410400000,95.27,95.57,95.08,95.36
1782414000000,95.36,95.47,94.82,95.14
1782417600000,95.14,95.42,95.02,95.25
1782421200000,95.25,95.26,95.07,95.23
1782424800000,95.23,95.24,95.1,95.17
1782428400000,95.17,95.39,95.13,95.31
1782432000000,95.31,95.47,94.82,95.02
1782435600000,95.02,95.02,92.54,93.12
1782439200000,93.12,93.27,92.04,92.29
1782442800000,92.29,92.49,91.38,92.44
1782446400000,92.44,92.5,92.16,92.28
1782450000000,92.28,92.29,91.36,91.7
1782453600000,91.7,91.75,90.87,90.96
1782457200000,90.96,91.32,90.64,91
1782460800000,91,91.88,90.97,91.65
1782464400000,91.65,91.76,91.45,91.54
1782468000000,91.54,91.88,91.41,91.86
1782471600000,91.86,92.05,91.78,91.89
1782475200000,91.89,92.32,91.82,92.13
1782478800000,92.13,94.68,91.89,94.6
1782482400000,94.6,95.22,94.18,95.14
1782486000000,95.14,95.77,94.92,95.52
1782489600000,95.52,95.6,94.85,94.88
1782493200000,94.88,95,94.61,94.68
1782496800000,94.68,94.94,94.46,94.6
1782500400000,94.66,95.19,94.44,94.91
1782504000000,94.91,95.12,94.55,94.87
1782507600000,94.87,94.95,94.83,94.89
1782511200000,94.89,95.1,94.86,95.06
1782514800000,95.06,95.07,94.88,94.94
1782518400000,94.94,94.94,94.94,94.94
1782522000000,94.94,94.94,94.94,94.94
1782525600000,94.94,94.94,94.94,94.94
1782529200000,94.94,94.94,94.94,94.94
1782532800000,94.94,94.94,94.94,94.94
1782536400000,94.94,94.94,94.94,94.94
1782540000000,94.94,94.94,94.94,94.94
1782543600000,94.94,94.94,94.94,94.94
1782547200000,94.94,94.94,94.94,94.94
1782550800000,94.94,94.94,94.94,94.94
1782554400000,94.94,94.94,94.94,94.94
1782558000000,94.94,94.94,94.94,94.94
1782561600000,94.94,94.94,94.94,94.94
1782565200000,94.94,94.94,94.94,94.94
1782568800000,94.94,94.94,94.94,94.94
1782572400000,94.94,94.94,94.94,94.94
1782576000000,94.94,94.94,94.94,94.94
1782579600000,94.94,94.94,94.94,94.94
1782583200000,94.94,94.94,94.94,94.94
1782586800000,94.94,94.94,94.94,94.94
1782590400000,94.94,94.94,94.94,94.94
1782594000000,94.94,94.94,94.94,94.94
1782597600000,94.94,94.94,94.94,94.94
1782601200000,94.94,94.94,94.94,94.94
1782604800000,94.94,94.94,94.94,94.94
1782608400000,94.94,94.94,94.94,94.94
1782612000000,94.94,94.94,94.94,94.94
1782615600000,94.94,94.94,94.94,94.94
1782619200000,94.94,94.94,94.94,94.94
1782622800000,94.94,94.94,94.94,94.94
1782626400000,94.94,94.94,94.94,94.94
1782630000000,94.94,94.94,94.94,94.94
1782633600000,94.94,94.94,94.94,94.94
1782637200000,94.94,94.94,94.94,94.94
1782640800000,94.94,94.94,94.94,94.94
1782644400000,94.94,94.94,94.94,94.94
1782648000000,94.94,94.94,94.94,94.94
1782651600000,94.94,94.94,94.94,94.94
1782655200000,94.94,94.94,94.94,94.94
1782658800000,94.94,94.94,94.94,94.94
1782662400000,94.94,94.94,94.94,94.94
1782666000000,94.94,94.94,94.94,94.94
1782669600000,94.94,94.94,94.94,94.94
1782673200000,94.94,94.94,94.94,94.94
1782676800000,94.94,94.94,94.94,94.94
1782680400000,94.94,94.94,94.94,94.94
1782684000000,94.94,94.94,94.94,94.94
1782687600000,94.94,94.94,94.94,94.94
1782691200000,94.94,95.86,94.31,94.51
1782694800000,94.51,95.25,93.11,94.38
1782698400000,94.38,96.9,94.38,96.74
1782702000000,96.74,97.32,96.53,96.79
1782705600000,96.79,96.83,96.7,96.8
1782709200000,96.8,96.82,95.53,95.53
1782712800000,95.53,95.54,95.03,95.38
1782716400000,95.38,95.5,95,95
1782720000000,95,95.42,94.77,95.14
1782723600000,95.14,95.25,94.85,95.22
1782727200000,95.22,95.41,95.18,95.38
1782730800000,95.38,95.81,95.36,95.59
1782734400000,95.59,96.15,95.5,96.02
1782738000000,96.02,97.41,95.28,95.72
1782741600000,95.72,96.18,95.32,95.59
1782745200000,95.59,95.59,94.83,95.04
1782748800000,95.04,95.06,94.44,95.05
1782752400000,95.05,95.13,94.81,94.87
1782756000000,94.87,94.92,94.52,94.69
1782759600000,94.69,95.51,94.51,95.48
1782763200000,95.48,95.71,95.39,95.71
1782766800000,95.71,95.82,95.65,95.75
1782770400000,95.75,96.16,95.75,96.14
1782774000000,96.14,96.24,95.85,95.97
1782777600000,95.97,95.97,95.51,95.77
1782781200000,95.77,96.28,94.21,94.88
1782784800000,94.88,95.03,93.68,94.15
1782788400000,94.15,94.89,94.14,94.34
1782792000000,94.34,94.79,94.33,94.68
1782795600000,94.68,95.51,93.32,95.3
1782799200000,95.3,95.76,94.43,94.79
1782802800000,94.79,95.22,94.67,95.05
1782806400000,95.05,95.12,94.65,94.76
1782810000000,94.76,94.95,94.74,94.95
1782813600000,94.95,95.21,94.94,95.19
1782817200000,95.19,95.37,95.12,95.34
1782820800000,95.34,95.35,94.98,95.09
1782824400000,95.09,95.22,94.37,94.9
1782828000000,94.9,96.93,94.73,95.59
1782831600000,95.59,96.24,95.55,96.17
1782835200000,96.17,96.37,96.04,96.29
1782838800000,96.29,96.66,96.12,96.48
1782842400000,96.48,96.8,96.41,96.43
1782846000000,96.43,96.57,95.97,95.99
1782849600000,95.99,96.13,95.87,96.06
1782853200000,96.06,96.19,96.03,96.15
1782856800000,96.15,96.42,96.1,96.29
1782860400000,96.29,96.34,96.16,96.17
1782864000000,96.17,96.83,96.02,96.2
1782867600000,96.2,96.22,95.52,95.76
1782871200000,95.76,96.05,95.57,95.94
1782874800000,95.94,96.1,95.9,96.07
1782878400000,96.07,96.33,95.97,96.3
1782882000000,96.3,96.31,96.09,96.1
1782885600000,96.1,96.12,95.87,96.03
1782889200000,96.03,96.28,95.85,96.18
1782892800000,96.18,96.21,95.79,95.84
1782896400000,95.84,95.85,95.33,95.67
1782900000000,95.67,95.85,95.54,95.75
1782903600000,95.75,95.9,95.58,95.65
1782907200000,95.65,95.67,95.14,95.21
1782910800000,95.21,98.53,95.13,98.52
1782914400000,98.52,99.46,98.17,98.95
1782918000000,98.95,99.33,98.68,98.85
1782921600000,98.85,99.27,98.75,98.81
